,Date,USD (AM),USD (PM),GBP (AM),GBP (PM),EURO (AM),EURO (PM)
0,2001-01-02,272.8,271.1,183.02599999999998,181.61700000000002,288.677,287.334
1,2001-01-03,269.0,267.15,178.916,177.39,281.823,281.655
2,2001-01-04,268.75,267.1,178.86900000000003,178.352,282.538,282.04900000000004
3,2001-01-05,268.0,267.4,178.488,178.148,280.775,280.882
4,2001-01-08,268.6,268.3,178.769,178.66400000000002,282.41,282.481
5,2001-01-09,267.75,267.0,179.855,179.195,284.507,283.59
6,2001-01-10,266.7,266.3,178.77700000000002,178.665,283.573,283.298
7,2001-01-11,264.8,264.15,177.30200000000002,176.44099999999997,279.768,278.053
8,2001-01-12,263.65,263.7,176.614,177.695,276.711,277.66700000000003
9,2001-01-15,263.35,263.5,178.084,178.294,278.76599999999996,279.57599999999996
10,2001-01-16,264.5,264.45,179.87099999999998,179.984,281.084,280.882
11,2001-01-17,263.1,263.5,178.66400000000002,179.06900000000002,280.341,282.422
12,2001-01-18,264.1,264.9,179.112,179.715,280.212,281.031
13,2001-01-19,265.75,264.9,180.169,179.91,281.813,281.95799999999997
14,2001-01-22,266.1,266.15,181.887,182.18200000000002,285.515,284.89599999999996
15,2001-01-23,267.1,266.1,181.38,180.81099999999998,283.606,282.905
16,2001-01-24,265.7,264.25,181.18,180.68400000000003,284.933,286.047
17,2001-01-25,263.6,264.9,181.19299999999998,182.112,286.99,288.374
18,2001-01-26,264.5,263.55,180.11599999999999,180.576,284.04200000000003,285.846
19,2001-01-29,263.1,262.85,180.243,180.05900000000003,285.668,285.769
20,2001-01-30,263.4,264.95,180.907,181.187,287.617,286.805
21,2001-01-31,266.2,264.5,182.03,180.855,286.113,283.737
22,2001-02-01,266.85,267.65,181.19799999999998,180.967,283.431,283.97900000000004
23,2001-02-02,268.0,266.7,181.387,181.24400000000003,284.894,285.454
24,2001-02-05,266.25,265.45,180.692,180.21,283.335,282.694
25,2001-02-06,264.55,262.7,180.26,179.563,283.032,281.867
26,2001-02-07,262.9,263.15,180.155,180.203,282.536,282.047
27,2001-02-08,263.4,262.95,181.28,181.998,283.98900000000003,286.656
28,2001-02-09,260.5,259.9,180.27700000000002,179.91099999999997,282.44599999999997,281.125
29,2001-02-12,260.9,261.1,179.683,179.574,280.9,280.753
30,2001-02-13,261.5,260.75,179.84900000000002,179.456,281.485,282.197
31,2001-02-14,260.9,260.25,179.10299999999998,178.55900000000003,283.495,283.404
32,2001-02-15,259.5,258.55,178.412,178.52,284.228,284.904
33,2001-02-16,256.7,257.45,176.572,177.063,281.531,280.967
34,2001-02-19,258.95,259.45,178.27900000000002,179.055,281.131,281.613
35,2001-02-20,258.3,256.25,179.412,177.705,283.846,282.587
36,2001-02-21,257.3,257.5,178.12400000000002,178.225,280.895,281.72900000000004
37,2001-02-22,258.0,258.85,178.918,179.048,284.83099999999996,286.149
38,2001-02-23,259.95,260.45,179.93400000000003,179.86900000000003,287.17400000000004,286.681
39,2001-02-26,262.8,263.2,181.24,182.019,288.474,288.85
40,2001-02-27,268.1,268.3,185.601,185.97099999999998,292.845,292.043
41,2001-02-28,265.0,266.7,183.36599999999999,185.144,287.512,289.828
42,2001-03-01,266.7,266.35,184.122,183.247,287.858,286.39799999999997
43,2001-03-02,263.35,263.1,179.638,178.433,281.207,280.73
44,2001-03-05,261.85,262.5,178.275,178.75400000000002,281.07599999999996,282.197
45,2001-03-06,262.6,261.85,179.06599999999997,178.65200000000002,283.279,282.014
46,2001-03-07,261.55,260.65,178.618,178.625,279.942,281.085
47,2001-03-08,263.6,263.65,179.405,179.623,282.62,282.947
48,2001-03-09,268.75,269.8,182.82299999999998,183.775,287.587,289.175
49,2001-03-12,270.5,272.5,184.516,185.981,290.548,293.32599999999996
50,2001-03-13,269.4,269.3,184.926,185.29,291.716,292.495
51,2001-03-14,267.45,263.85,184.13099999999997,182.28,292.327,289.627
52,2001-03-15,262.7,262.05,181.611,181.639,288.681,289.079
53,2001-03-16,260.2,260.7,181.324,182.028,290.889,290.862
54,2001-03-19,260.5,260.55,181.93900000000002,182.38099999999997,289.605,290.08
55,2001-03-20,262.6,261.55,183.636,183.03,290.487,289.806
56,2001-03-21,261.2,262.0,182.91299999999998,183.40900000000002,290.933,291.597
57,2001-03-22,262.25,261.15,184.34599999999998,184.10299999999998,294.497,294.918
58,2001-03-23,262.3,262.85,183.748,184.06900000000002,293.63,294.411
59,2001-03-26,261.3,262.2,182.23,182.90900000000002,292.839,293.125
60,2001-03-27,262.75,262.0,183.293,182.324,293.215,292.085
61,2001-03-28,261.2,260.15,182.785,181.669,294.244,292.962
62,2001-03-29,260.2,260.15,180.69400000000002,180.949,293.183,294.121
63,2001-03-30,259.05,257.7,181.78900000000002,180.627,294.041,291.252
64,2001-04-02,257.55,255.95,181.60299999999998,180.208,293.57099999999997,291.415
65,2001-04-03,257.0,257.1,180.41400000000002,180.295,290.461,290.246
66,2001-04-04,259.2,259.45,180.753,180.953,289.383,287.002
67,2001-04-05,258.2,258.1,180.21900000000002,180.61599999999999,287.01599999999996,287.416
68,2001-04-06,258.1,258.8,180.41400000000002,180.47400000000002,286.587,287.715
69,2001-04-09,260.9,259.0,180.49099999999999,178.80599999999998,288.926,286.981
70,2001-04-10,257.05,256.65,178.05,177.674,286.982,286.92
71,2001-04-11,258.45,257.7,179.854,179.845,290.393,292.078
72,2001-04-12,259.4,259.25,180.792,180.41099999999997,292.117,291.063
73,2001-04-17,262.15,260.55,182.327,181.733,297.222,295.844
74,2001-04-18,260.1,258.85,182.143,181.968,295.233,295.491
75,2001-04-19,261.35,263.1,182.762,183.153,295.745,295.95099999999996
76,2001-04-20,264.2,263.85,182.774,183.102,293.327,293.16700000000003
77,2001-04-23,262.9,262.6,182.31599999999997,182.12099999999998,291.367,291.681
78,2001-04-24,263.65,263.4,183.218,182.58700000000002,293.92400000000004,292.245
79,2001-04-25,263.95,263.5,183.95,183.012,295.51099999999997,293.16900000000004
80,2001-04-26,262.2,263.5,182.14700000000002,182.669,292.373,292.291
81,2001-04-27,264.45,264.6,183.391,184.519,293.247,296.437
82,2001-04-30,263.45,263.15,183.46099999999998,183.97,296.01099999999997,296.607
83,2001-05-01,263.8,264.0,184.799,184.449,297.407,296.296
84,2001-05-02,265.0,263.95,185.315,184.451,297.485,296.307
85,2001-05-03,265.3,266.4,185.007,185.257,296.922,297.32099999999997
86,2001-05-04,265.8,266.6,185.356,185.165,297.748,297.279
87,2001-05-08,265.6,265.2,185.30700000000002,185.325,299.23400000000004,299.83
88,2001-05-09,265.2,267.85,186.02700000000002,188.467,300.13599999999997,302.758
89,2001-05-10,269.4,268.45,189.451,188.96900000000002,303.618,304.158
90,2001-05-11,268.95,269.05,189.86900000000003,189.739,306.566,307.135
91,2001-05-14,267.7,268.35,188.987,189.312,306.048,306.861
92,2001-05-15,268.05,266.6,188.90099999999998,187.68,306.098,303.748
93,2001-05-16,269.1,270.9,188.67,189.48,304.82599999999996,306.205
94,2001-05-17,271.75,274.0,189.942,191.877,307.688,311.222
95,2001-05-18,272.1,273.0,190.373,190.976,309.486,311.288
